order_id,product_category,price_inr,discount_pct,payment_method,customer_tenure_days,num_previous_orders,num_previous_returns,delivery_distance_km,delivery_days,is_weekend_order,rating_given,returned
45,Footwear,985,19.1,Prepaid_Card,158,3,1,204.9,4,0,5,0
46,Footwear,3308,35.6,COD,386,5,1,424,2,1,5,1
47,Electronics,27676,32.2,COD,23,1,0,168.9,9,0,1,0
48,Apparel,1089,28.3,COD,148,3,0,145.7,4,0,3,0
49,Home,4452,37.2,COD,135,1,0,211.5,7,0,,0
50,Apparel,1666,25,Prepaid_Card,299,3,0,263.8,3,0,3,0
51,Apparel,1308,0,Prepaid_Card,614,14,3,237.9,6,0,4,0
52,Apparel,652,16.3,Prepaid_Card,501,12,4,282.9,5,0,3,1
53,Footwear,858,0,Prepaid_UPI,228,6,0,287.9,4,1,4,0
54,Home,3679,31.9,COD,365,6,0,324.5,9,1,,0
55,Home,7406,35.4,COD,66,2,0,122.2,5,0,,1
56,Footwear,2731,36.1,COD,88,2,0,160.3,4,0,1,1
57,Electronics,16890,29.3,COD,366,10,1,246.1,8,1,,0
58,Home,7297,36.5,Prepaid_Card,51,0,0,182,1,0,5,0
59,Apparel,1100,0,Prepaid_UPI,106,5,0,212.8,1,0,3,0
60,Apparel,1316,20.4,Prepaid_UPI,281,9,3,228.2,6,0,4,0
61,Home,1197,0.8,Prepaid_Card,148,4,1,198.8,5,0,3,0
62,Electronics,33498,16.6,COD,100,3,0,180.2,3,0,3,0
63,Home,5692,46.2,COD,183,6,1,138.3,5,0,2,0
64,Footwear,3677,38.4,COD,169,2,0,202.7,7,1,4,0
65,Home,2804,31.9,COD,69,1,0,175.5,2,1,1,1
66,Home,3658,19.3,Prepaid_UPI,36,1,0,342.9,4,0,5,0
67,Home,1596,7.1,Prepaid_Card,584,17,0,305.8,5,1,4,0
68,Apparel,2136,24.8,COD,1009,20,3,120.8,5,0,2,0
69,Apparel,555,38.7,COD,871,23,1,490.9,6,0,4,0
70,Electronics,29627,28.1,COD,57,1,0,179.1,1,0,5,0
71,Apparel,1669,0,Wallet,732,16,2,99.6,6,0,1,0
72,Electronics,8109,23.6,COD,29,3,0,166.6,1,0,1,0
73,Footwear,1961,0,COD,99,6,1,90,4,1,3,0
74,Apparel,478,34.1,COD,231,6,1,98.1,2,1,,1
75,Apparel,1402,11.6,Prepaid_UPI,431,12,1,788.7,5,1,1,0
76,Apparel,2191,3.7,Prepaid_Card,48,0,0,334.5,6,0,1,0
77,Apparel,1174,34.3,Prepaid_Card,374,7,1,114,5,1,3,0
78,Home,7923,30.4,COD,536,9,2,76.4,3,1,,0
79,Home,1272,25.5,COD,6,0,0,212,2,1,,1
80,Footwear,2070,54.9,Prepaid_UPI,219,6,3,69.1,4,0,1,0
81,Home,7245,31.5,COD,437,10,1,206.6,4,1,3,0
82,Electronics,39599,12.3,COD,76,5,2,274.5,5,1,3,0
83,Footwear,1794,29.8,Prepaid_Card,1587,39,1,286,4,0,3,0
84,Apparel,1621,17.7,COD,40,1,0,113.3,8,0,1,1
85,Apparel,1995,41,COD,18,0,0,253.2,5,1,3,1
86,Apparel,1780,26.2,Prepaid_UPI,1214,29,7,386,7,1,1,0
87,Footwear,3014,27.7,Prepaid_Card,64,4,1,182.7,3,1,3,0
88,Electronics,7883,0.4,COD,837,19,4,109.8,6,0,4,0
89,Apparel,531,22.9,COD,295,8,1,177.6,6,1,,0
90,Electronics,28120,21.2,Prepaid_UPI,193,5,0,122,3,1,5,0
91,Apparel,1300,6.6,COD,1308,27,10,915.6,1,0,3,1
92,Home,2133,18.7,COD,768,15,0,350.7,7,1,4,0
93,Electronics,14023,28.5,Prepaid_Card,448,10,1,310.6,4,1,,1
94,Electronics,18373,21.9,Prepaid_Card,162,3,1,77,3,1,5,0
95,Apparel,1292,0.8,Wallet,954,22,3,92.8,4,0,2,0
96,Home,3305,17.9,COD,4,0,0,189.5,2,0,1,1
97,Electronics,18163,15,COD,223,2,0,171.8,6,0,3,0
98,Apparel,608,24.9,Prepaid_Card,171,0,0,151.3,4,0,3,1
99,Apparel,1958,23.3,Prepaid_Card,2,2,0,413.8,5,1,5,0
100,Beauty,1582,15.8,COD,702,14,5,693.1,7,0,3,1
101,Beauty,493,15.2,Prepaid_Card,37,0,0,151.5,5,0,,0
102,Home,3564,23,COD,176,3,0,53.8,8,0,5,0
103,Apparel,1150,36.4,Prepaid_UPI,155,2,0,156.1,4,1,5,0
104,Beauty,1561,26.2,Prepaid_UPI,471,9,1,402.8,1,1,3,0
105,Footwear,2935,43.3,Prepaid_Card,185,6,0,350.7,3,1,1,0
106,Home,5268,39,Wallet,124,2,0,227.1,3,1,5,0
107,Electronics,31768,44.5,Wallet,104,4,1,308.9,5,0,,0
108,Apparel,586,42.5,COD,389,10,4,181.3,8,1,5,1
109,Apparel,949,45.4,COD,81,2,0,147.6,5,0,1,1
110,Beauty,191,4.7,Prepaid_Card,611,15,2,129.9,4,0,2,0
111,Electronics,21113,31.7,COD,16,0,0,220.3,4,0,,0
112,Apparel,1173,40.3,COD,195,7,1,158.7,6,0,4,1
113,Apparel,1722,43,COD,406,11,0,115.7,5,1,2,1
114,Home,1587,10.4,Wallet,368,10,0,244.9,6,0,5,0
115,Apparel,1537,31.9,COD,315,5,0,170.2,3,0,3,0
116,Footwear,1727,23.1,Prepaid_UPI,123,3,1,410.9,9,0,2,0
117,Footwear,2028,49.7,COD,356,4,1,272.2,4,0,4,0
118,Home,5839,1.2,COD,689,18,0,580.1,3,0,4,1
119,Electronics,4334,10.5,Prepaid_UPI,512,10,2,288.8,7,1,2,0
120,Home,2939,0,COD,217,4,0,209.8,6,1,,0
121,Home,3313,24.2,COD,309,4,2,374.4,3,1,,1
122,Home,5811,56,COD,25,0,0,541.8,6,0,3,1
123,Apparel,759,21.3,Prepaid_UPI,280,6,2,68,4,1,1,1
124,Electronics,42697,23.5,COD,16,4,0,376.8,5,0,,0
125,Apparel,2196,30.3,COD,139,5,1,220,5,1,4,0
126,Electronics,37068,20.3,COD,646,13,2,291.6,10,1,2,0
127,Electronics,14327,27.5,COD,170,0,0,566.6,8,0,1,0
128,Apparel,1595,27.9,COD,332,3,0,230.9,7,1,5,0
129,Apparel,550,9.3,Prepaid_Card,198,2,0,110.5,6,0,5,0
130,Home,7009,20.6,COD,169,1,0,84.4,2,0,4,0
131,Apparel,1329,33.1,COD,664,15,1,556.5,5,1,2,1
132,Beauty,565,35.9,Prepaid_Card,919,20,4,271.1,4,1,3,0
133,Home,2821,41.5,Prepaid_UPI,155,3,0,231.2,4,1,4,1
134,Electronics,36273,27,COD,112,1,0,520.5,5,1,,0
135,Home,7001,27.3,COD,115,3,0,142,1,1,,1
136,Apparel,1335,33.3,COD,263,3,0,142.5,4,0,4,1
137,Beauty,1279,13.1,Wallet,512,11,2,619.5,5,1,4,0
138,Electronics,34082,12.5,COD,526,13,3,128.3,7,1,2,1
139,Footwear,3805,20.1,COD,130,2,0,97.5,3,1,,1
140,Apparel,1777,2.9,Prepaid_Card,13,1,0,613.9,3,1,5,0
141,Electronics,18038,28.1,COD,117,0,0,368.2,3,0,1,1
142,Electronics,29316,37.7,COD,488,7,0,219.5,4,1,3,0
143,Beauty,2165,11.3,COD,378,9,1,786.2,2,0,3,0
144,Home,1469,28.5,Prepaid_Card,643,16,0,166.3,7,1,2,0
145,Electronics,18200,12.6,Prepaid_Card,1281,28,2,324.3,6,1,2,1
146,Apparel,502,6.8,Prepaid_Card,75,6,1,302.6,10,1,5,1
147,Electronics,19109,52.8,Prepaid_UPI,178,1,0,527.9,3,1,4,0
148,Electronics,35026,7,COD,404,8,2,140.3,6,1,3,0
149,Electronics,9830,2.8,Wallet,538,12,1,613.9,2,1,4,0
150,Apparel,1375,25.2,Prepaid_UPI,347,9,1,738.5,8,0,1,0
151,Footwear,646,26,Prepaid_UPI,637,13,0,474.4,4,0,1,0
152,Footwear,4091,32,Prepaid_UPI,62,0,0,151.5,4,1,5,0
153,Apparel,1876,52,COD,37,2,0,265.2,7,1,,1
154,Home,4338,10.3,COD,92,2,0,301.8,7,1,1,0
155,Apparel,1670,13.3,Prepaid_Card,669,14,0,295.5,2,0,2,0
156,Home,1100,46.1,COD,105,3,0,81.8,4,0,,0
157,Apparel,1921,36.1,Prepaid_Card,180,4,0,349.4,8,1,2,0
158,Home,5808,34,COD,2014,44,11,277.6,4,1,,0
159,Footwear,980,13.2,COD,608,13,2,212.9,5,1,,0
160,Footwear,4423,38.9,Wallet,98,1,0,225,6,0,4,0
161,Apparel,441,34,Prepaid_UPI,35,0,0,803,8,0,4,0
162,Beauty,1627,24.8,Prepaid_Card,196,3,1,478.5,6,1,,1
163,Apparel,709,13.2,COD,889,20,2,73.2,4,0,3,0
164,Apparel,1695,23.6,Prepaid_Card,83,0,0,214.2,1,1,4,0
165,Home,842,46.7,Prepaid_UPI,140,5,2,429.3,6,1,4,1
166,Electronics,4752,5.6,Prepaid_Card,215,5,1,485.1,5,0,4,0
167,Footwear,2365,10,Prepaid_Card,385,6,1,290.8,8,0,4,0
168,Footwear,4476,12.6,Prepaid_Card,383,12,3,115.6,6,0,2,0
169,Apparel,898,15.8,COD,1112,25,3,107.8,3,0,5,0
170,Beauty,1589,21.8,Prepaid_UPI,62,0,0,345.2,2,1,4,0
171,Apparel,1333,36.4,Wallet,1222,30,6,186.8,4,0,2,1
172,Electronics,38085,28.9,Prepaid_Card,75,4,1,129.2,5,1,1,0
173,Apparel,919,22.9,COD,175,2,0,37.6,5,1,,1
174,Beauty,1454,26.2,Prepaid_Card,99,2,0,88.6,2,0,5,0
175,Apparel,2111,31.4,Prepaid_Card,370,7,1,273.1,1,0,3,1
176,Apparel,999,0,Wallet,68,0,0,204.1,2,0,5,1
177,Electronics,20446,38.1,Prepaid_UPI,317,8,2,513.8,1,0,2,0
178,Beauty,2239,9.6,COD,329,9,1,100.8,2,0,,0
179,Footwear,1830,15.3,COD,121,4,1,151.5,5,0,5,0
180,Footwear,2023,27.1,Prepaid_Card,382,9,0,169.8,8,1,2,1
181,Footwear,1716,20.9,COD,102,4,0,257.2,1,0,4,0
182,Footwear,3738,29.3,Prepaid_Card,114,0,0,170.5,2,0,3,0
183,Electronics,41951,24.1,Prepaid_UPI,448,14,4,139.6,5,1,5,0
184,Apparel,1536,17.7,Prepaid_UPI,34,0,0,294.9,4,0,4,0
185,Footwear,2995,44.9,COD,76,0,0,249.1,5,1,,0
186,Home,3303,32.6,Prepaid_UPI,318,6,0,375.4,5,0,2,0
187,Electronics,1747,26.5,Prepaid_UPI,61,0,0,201.3,4,1,5,0
188,Apparel,713,32.4,COD,365,8,1,457.8,7,0,,0
189,Footwear,1090,11.4,Prepaid_Card,260,5,0,130.4,10,1,3,0
190,Apparel,609,54.6,Prepaid_Card,923,21,3,344.3,2,1,3,0
191,Beauty,1687,5.7,Prepaid_UPI,1069,22,1,396.5,7,0,,0
192,Apparel,645,23.7,COD,334,8,1,43,9,1,,1
193,Apparel,554,17.7,COD,389,6,0,348.8,8,0,5,1
194,Footwear,2030,17.1,Prepaid_Card,1625,38,2,218.9,3,1,1,0
195,Apparel,848,15.2,COD,88,3,1,260.5,4,1,5,0
196,Apparel,663,10.4,COD,56,1,0,507.2,1,1,,0
197,Home,1425,39.8,Prepaid_UPI,400,8,1,231.8,3,0,3,0
198,Footwear,1525,3.9,COD,83,2,0,124.7,3,1,5,0
199,Apparel,1366,36.8,Prepaid_Card,132,1,0,333.2,6,1,4,0
200,Apparel,1765,31.7,Wallet,827,18,2,208.8,2,1,5,0
201,Footwear,3911,16.3,Prepaid_Card,629,14,3,234.8,5,0,1,0
202,Beauty,1916,30,Prepaid_Card,262,11,6,221,5,1,3,0
203,Electronics,28716,19.6,Prepaid_Card,262,3,0,367,3,0,1,0
204,Apparel,2034,5.5,COD,592,8,3,293.5,6,1,4,0
205,Apparel,1336,5.6,COD,170,3,0,236.8,4,0,,0
206,Apparel,1540,31.8,Prepaid_UPI,184,1,0,281.9,5,1,1,0
207,Apparel,1141,31.1,COD,209,3,0,128.4,2,0,2,0
208,Home,2821,25.6,COD,786,15,2,349.9,3,1,5,1
209,Apparel,997,16.1,COD,115,1,0,298,7,1,2,1
210,Electronics,7696,19.1,Prepaid_UPI,749,15,2,545.2,1,1,5,0
211,Home,6434,17.1,COD,593,15,1,162.6,6,0,3,0
212,Home,726,0,Prepaid_UPI,235,5,1,165.4,4,1,1,1
213,Apparel,1614,22.9,COD,280,8,1,268.6,1,0,,0
214,Footwear,3958,29.8,Prepaid_Card,1167,26,1,231,4,1,,0
215,Home,4130,23,COD,46,3,0,125,6,0,5,0
216,Footwear,781,48.5,COD,215,4,0,108.8,10,0,2,1
217,Apparel,1171,6.9,Prepaid_Card,516,15,1,444.9,9,0,3,0
218,Apparel,1018,12.1,Prepaid_UPI,498,12,1,151.6,2,1,3,0
219,Beauty,2466,24,COD,183,3,0,201.9,6,0,3,0
220,Electronics,31477,25.7,Prepaid_Card,2,1,0,103.2,4,1,2,0
221,Apparel,1698,0,Prepaid_Card,1038,23,3,741.9,3,0,5,0
222,Electronics,23793,31,COD,813,18,1,158,7,1,,0
223,Home,5762,25.7,Prepaid_Card,169,4,0,217,5,0,2,0
224,Beauty,1848,0,COD,97,4,1,80.6,5,0,3,1
225,Apparel,519,20.2,Prepaid_Card,129,0,0,259.9,1,0,5,0
226,Beauty,673,9.9,COD,253,5,0,630.8,2,1,5,0
227,Apparel,423,15.2,Prepaid_Card,98,4,0,111.2,3,1,3,1
228,Home,4226,1.9,COD,232,6,0,266.8,6,1,,0
229,Home,7044,28.2,Prepaid_Card,58,0,0,180.5,6,0,5,0
230,Apparel,1497,48.4,Prepaid_Card,26,0,0,238.3,8,0,3,0
231,Apparel,1300,26,Wallet,126,6,1,190,2,0,5,0
232,Electronics,41757,0,Prepaid_Card,45,1,0,98.7,8,0,4,0
233,Beauty,555,26.3,Prepaid_UPI,137,6,2,280.9,4,1,2,0
234,Home,874,19.1,COD,767,19,5,381.8,5,1,1,0
235,Beauty,2306,5.5,COD,185,3,0,184.9,4,1,5,0
236,Footwear,4111,27.3,COD,605,8,1,442.4,5,0,3,1
237,Electronics,31114,35.2,Prepaid_Card,74,1,0,446,6,1,3,0
238,Footwear,1484,12,Prepaid_UPI,809,18,2,382.1,7,1,1,0
239,Apparel,2146,0,Prepaid_UPI,858,20,2,121,4,1,5,0
240,Apparel,1778,0,Prepaid_Card,189,2,0,328.5,5,1,4,0
241,Footwear,3196,12,Prepaid_Card,9,1,0,309.3,2,1,1,1
242,Footwear,1392,19.7,COD,434,10,2,136.2,6,0,5,0
243,Apparel,1324,14.3,COD,134,5,1,174.2,5,1,3,0
244,Electronics,37229,11.8,Prepaid_UPI,137,2,0,239.9,3,0,4,0
245,Home,6924,30.5,COD,1182,27,12,169.5,2,0,5,0
246,Footwear,2746,28.9,COD,23,1,0,218.5,5,1,5,0
247,Home,4326,25,Wallet,338,9,2,557.8,7,0,5,0
248,Electronics,31759,34.2,Wallet,330,6,0,142.5,8,1,1,0
249,Electronics,24337,12.2,Prepaid_Card,119,0,0,140.3,2,0,3,0
250,Electronics,19494,5.6,COD,138,3,0,426.2,7,1,2,0
251,Home,958,14.2,Prepaid_UPI,12,0,0,247.5,6,0,5,0
252,Footwear,1004,13.1,COD,108,0,0,265.1,8,1,4,1
253,Electronics,34500,0,Prepaid_Card,64,0,0,203.2,6,1,2,0
254,Apparel,444,13.8,COD,57,0,0,204.9,4,0,1,1
255,Apparel,494,38.6,Wallet,53,1,0,224.3,6,1,5,1
256,Footwear,4119,34,Wallet,57,1,0,265.9,1,1,3,0
257,Footwear,3316,29.9,Prepaid_Card,85,0,0,379.6,2,0,4,0
258,Apparel,408,24,COD,141,0,0,128.2,3,0,4,0
259,Apparel,962,43.7,Prepaid_Card,134,5,1,148.6,3,0,4,1
260,Home,6178,6.1,COD,525,11,1,430.9,1,1,2,0
261,Apparel,1152,7.5,Prepaid_UPI,165,4,1,254.7,3,1,,0
262,Footwear,2375,38.9,COD,192,2,0,190.1,3,1,,0
263,Apparel,1226,22.4,COD,685,15,4,286.8,4,1,,0
264,Apparel,764,11.9,Prepaid_UPI,61,1,0,172.1,5,0,5,0
265,Beauty,1845,30.3,Prepaid_Card,123,1,0,416.9,2,0,5,0
266,Apparel,585,15.4,Prepaid_UPI,20,0,0,155.7,4,1,2,0
267,Apparel,1313,9.4,COD,38,0,0,168.4,4,0,2,0
268,Apparel,706,9,Prepaid_UPI,57,5,0,186.5,1,1,4,0
269,Apparel,484,26.8,COD,1187,26,5,309.8,4,1,1,0
270,Apparel,658,25.1,COD,358,10,0,444.1,5,1,5,0
271,Apparel,1965,44.8,Prepaid_Card,98,2,0,329.5,6,1,,0
272,Apparel,717,17.6,COD,168,3,1,380.4,2,0,,0
273,Apparel,901,17.4,Prepaid_Card,5,0,0,83.6,4,0,4,0
274,Home,1363,43.6,COD,911,23,2,80.9,7,1,4,0
275,Home,5964,36.8,COD,832,19,1,98.5,1,1,3,0
276,Electronics,20711,24.2,Prepaid_UPI,512,10,2,228.4,4,0,2,0
277,Apparel,2099,0,COD,5,0,0,178.4,1,0,,0
278,Electronics,30297,9.8,Prepaid_Card,138,5,0,102.7,4,0,1,0
279,Footwear,2626,6.2,Prepaid_UPI,439,4,1,23.3,3,0,5,0
280,Footwear,3127,22.5,COD,373,9,2,322.2,5,0,,0
281,Apparel,473,14.4,Prepaid_UPI,29,2,1,487.3,4,1,5,0
282,Apparel,2111,46,COD,89,0,0,387.3,2,1,3,0
283,Apparel,2122,0,COD,12,1,0,220.8,8,1,4,0
284,Apparel,897,4.6,COD,1804,41,3,270.5,5,0,,0
285,Home,5138,25.7,Prepaid_UPI,626,11,0,156.3,7,0,5,1
286,Electronics,10044,29.8,Prepaid_Card,1017,24,2,235.8,2,1,2,0
287,Apparel,1385,0,Prepaid_Card,34,1,0,225.6,4,1,4,0
288,Electronics,34961,0,Wallet,792,17,1,299.5,7,1,2,0
289,Electronics,42364,18,COD,349,8,2,149.9,3,0,5,0
290,Apparel,1011,42.3,Prepaid_UPI,1212,28,1,732.3,4,1,3,0
291,Footwear,3274,50.3,Prepaid_UPI,138,8,0,109.2,4,0,,0
292,Apparel,1690,15.8,Wallet,726,17,2,268.5,1,0,1,1
293,Beauty,670,19.4,Wallet,533,13,6,349.5,4,1,2,0
294,Apparel,1532,9.4,Wallet,811,18,2,115.1,4,1,,0
295,Footwear,3122,31.5,COD,439,14,0,74.7,4,0,5,1
296,Beauty,1946,44.9,Prepaid_UPI,384,6,1,352.7,3,1,2,1
297,Beauty,2500,40.8,Prepaid_UPI,365,5,0,739.8,2,1,3,0
298,Footwear,661,21.6,Prepaid_Card,231,5,1,60.1,3,1,1,0
299,Footwear,1309,9.4,COD,541,13,5,736.5,3,1,4,0
300,Home,1417,22.1,Wallet,126,0,0,361.1,6,1,3,0
301,Footwear,1118,42.7,COD,549,12,1,232.1,3,0,2,0
302,Apparel,1218,16,Prepaid_Card,146,3,1,388.6,5,0,3,0
303,Electronics,39680,0,Prepaid_Card,1112,26,2,454.1,5,1,4,0
304,Electronics,20854,16.6,COD,831,19,3,210.9,3,0,4,0
305,Footwear,3174,17.8,Prepaid_UPI,84,0,0,860,7,1,2,1
306,Electronics,17691,0,COD,325,5,1,723.9,4,0,2,1
307,Electronics,15201,25.5,Prepaid_UPI,66,0,0,163.2,3,0,4,1
308,Home,6724,29.6,Prepaid_UPI,325,9,0,285.4,7,0,3,0
309,Apparel,1580,49.9,COD,47,2,0,112.3,5,0,2,0
310,Apparel,1032,2,Prepaid_UPI,52,0,0,92.2,1,0,3,0
311,Electronics,41240,33,COD,965,22,2,196,1,1,3,0
312,Electronics,23035,36.5,Prepaid_UPI,122,1,0,278.8,8,1,1,0
313,Apparel,739,29.8,Wallet,141,7,1,135.1,5,0,5,1
314,Electronics,22365,6.9,COD,543,13,0,381.6,4,0,1,0
315,Electronics,30752,6,Prepaid_UPI,40,2,0,293.2,1,0,4,0
316,Electronics,17280,23.5,Prepaid_Card,285,9,0,246,4,1,4,0
317,Electronics,38158,23.4,Prepaid_Card,272,8,0,146.8,2,0,2,0
318,Home,4405,13.6,Prepaid_UPI,27,1,0,156.9,4,0,3,1
319,Apparel,1242,41.4,Prepaid_Card,537,12,2,202.5,3,1,2,0
320,Beauty,2168,16,Prepaid_Card,631,17,0,164.7,4,0,5,0
321,Beauty,1238,0,COD,224,5,0,188.2,5,0,,1
322,Electronics,19351,18.6,COD,479,9,1,148,5,0,3,0
323,Electronics,5743,29.2,Prepaid_UPI,835,22,11,310.2,4,1,2,0
324,Electronics,17077,27.1,COD,524,10,0,105,5,0,2,0
325,Footwear,2088,27,Prepaid_Card,471,7,2,412.2,1,1,1,1
326,Home,1691,44.4,COD,115,5,1,170.9,4,1,4,0
327,Footwear,2851,5.3,Prepaid_UPI,280,5,0,318,5,1,5,0
328,Electronics,7500,15.6,Prepaid_Card,237,6,0,241.5,4,0,1,0
329,Home,2022,45.2,COD,76,5,0,94.5,8,1,1,1
330,Apparel,1410,0,COD,274,3,0,397.3,4,0,4,0
331,Footwear,1576,21.2,Prepaid_Card,203,4,1,589.4,2,1,2,0
332,Apparel,1551,40.4,Wallet,253,9,1,215.2,4,0,,1
333,Home,5617,40.2,Prepaid_Card,87,3,0,66.8,3,1,4,0
334,Footwear,1705,31.9,Prepaid_Card,796,17,5,298.4,1,1,1,0
335,Apparel,557,32.3,Prepaid_UPI,883,24,2,250.1,4,0,1,1
336,Home,4069,6.4,COD,685,15,2,137.8,8,1,2,1
337,Apparel,567,42.6,Prepaid_Card,44,2,0,251.6,4,0,1,0
338,Footwear,2561,4,COD,416,13,4,495.3,7,0,1,0
339,Apparel,1707,4.9,COD,76,4,0,441.9,6,1,5,0
340,Beauty,1608,27.8,Prepaid_UPI,56,4,0,194.5,10,0,1,0
341,Apparel,1207,14.6,Prepaid_UPI,627,12,0,192.1,5,0,3,0
342,Beauty,2373,25.1,Wallet,46,3,0,130.7,5,1,2,0
343,Footwear,907,28.5,Prepaid_UPI,107,3,1,197.1,5,1,1,0
344,Home,7076,48.7,Prepaid_Card,28,0,0,271.7,5,0,2,0
345,Footwear,3701,28.5,COD,826,19,4,265.2,4,0,2,1
346,Footwear,2179,12.7,Prepaid_Card,168,4,1,288.1,3,0,3,0
347,Beauty,509,32.1,Wallet,974,25,4,286.4,6,0,4,0
348,Apparel,681,9.5,Prepaid_UPI,346,8,1,149.2,3,0,5,0
349,Home,7398,35.7,Prepaid_Card,357,6,2,394,1,0,4,1
350,Apparel,821,23,Prepaid_UPI,470,8,1,434.6,2,1,1,1
351,Home,7031,28,Prepaid_UPI,166,4,0,248.7,8,1,1,0
352,Apparel,1306,0,Wallet,1109,22,2,874,4,0,2,1
353,Home,3855,0,Prepaid_UPI,305,5,0,307.2,6,1,3,0
354,Home,5070,0,Prepaid_Card,330,7,1,106,3,1,2,0
355,Electronics,10619,48.2,COD,43,0,0,203.3,6,1,3,1
356,Electronics,19963,4.8,Prepaid_Card,1570,36,3,195.3,5,1,4,1
357,Footwear,4254,33,COD,161,2,0,66.1,9,1,1,0
358,Footwear,1453,12.4,Wallet,75,0,0,209.2,7,0,5,0
359,Electronics,41565,18.4,Prepaid_Card,283,3,0,384.9,6,0,4,0
360,Home,7955,21.3,Prepaid_Card,503,11,2,423.6,3,0,3,0
361,Beauty,272,46.7,COD,69,0,0,614.2,2,1,2,1
362,Apparel,1356,30.8,Prepaid_Card,756,14,3,319.6,4,1,5,0
363,Apparel,709,27.8,Prepaid_Card,315,11,1,366,5,1,2,0
364,Apparel,1519,41.5,COD,989,24,0,166.1,4,1,5,0
365,Home,7919,12.5,Prepaid_UPI,35,1,0,340.8,6,0,5,0
366,Electronics,40483,38,COD,504,12,0,302.6,5,1,2,1
367,Footwear,4199,35.5,Prepaid_Card,156,3,0,196.6,4,1,1,0
368,Home,1943,35.3,COD,1071,21,1,627.9,8,1,1,0
369,Electronics,24954,19.7,Prepaid_Card,273,8,1,105.4,5,0,4,0
370,Footwear,1439,15.4,Prepaid_UPI,293,8,0,253,2,0,5,1
371,Footwear,4098,9,Prepaid_UPI,318,3,1,495.4,7,1,5,1
372,Apparel,744,9.9,COD,482,11,1,137.8,5,1,,0
373,Electronics,7943,8.2,Wallet,452,11,3,177,4,1,5,1
